"n","covset","method","mean_rmse","sd_rmse","se_rmse","n_success"
100,"AS","cevae",5.29662468635995,NA,NA,1
100,"AS","drlearner",8.71743513607411,NA,NA,1
100,"AS","ganite",9.3438718338696,NA,NA,1
500,"AS","causal_forest",8.28123843581207,NA,NA,1
500,"AS","cevae",5.07119230214095,NA,NA,1
500,"AS","drlearner",50823.7346175219,NA,NA,1
500,"AS","ganite",12.227095788293,NA,NA,1
1000,"AS","causal_forest",8.0131527850789,NA,NA,1
1000,"AS","cevae",5.06642749280194,NA,NA,1
1000,"AS","drlearner",8.45633912620856,NA,NA,1
1000,"AS","ganite",8.62047265490494,NA,NA,1
100,"ASG","cevae",4.09001254171001,NA,NA,1
100,"ASG","drlearner",8.56915413621011,NA,NA,1
100,"ASG","ganite",11.8168955965375,NA,NA,1
500,"ASG","causal_forest",8.55714282177465,NA,NA,1
500,"ASG","cevae",5.05088118734423,NA,NA,1
500,"ASG","drlearner",11.2956319334133,NA,NA,1
500,"ASG","ganite",12.7742818886215,NA,NA,1
1000,"ASG","causal_forest",8.5149063212283,NA,NA,1
1000,"ASG","cevae",5.06849725432484,NA,NA,1
1000,"ASG","drlearner",9.54763648823747,NA,NA,1
1000,"ASG","ganite",10.9580849679935,NA,NA,1
